Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées physiques\Commune;\Univers\Univers\Univers\Concept\Terme métier;"La commune est la plus petite subdivision administrative française mais c'est aussi la plus ancienne, puisqu'elle a succédé aux villes et paroisses du Moyen Âge. Elle a été instituée en 1789 avant de connaître un début d'autonomie avec la loi du 5 avril 1884, véritable charte communale. Le maire est l'exécutif de la commune qu'il représente et dont il gère le budget. Il est l'employeur du personnel communal et exerce les compétences de proximité (écoles, urbanisme, action sociale, voirie, transports scolaires, ramassage des ordures ménagères, assainissement...). Il est également agent de l'État pour les fonctions d'état civil, d'ordre public, d'organisation des élections et de délivrance de titres réglementaires.
Code INSEE :
Correspond au code commune élaboré par l'INSEE (Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal). La notion de « code Insee de la commune » semble être remplacée dans les fichiers de l’INSEE par la notion de ""Code Géographique"". Le « CODGEO » renvoi donc à un nom de COMMUNE";648e2ebb-867c-4e10-b28d-06778ff063d0;Municipality territory;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Créances\Compensation à payer;\Univers\Univers\Univers\Univers\Terme métier;Il s'agit de la compensation à payer;21e0f37f-7a44-402c-b954-ee5eebdb8180;Compensation Payable;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Créances\Compensation à recevoir;\Univers\Univers\Univers\Univers\Terme métier;Il s'agit de la compensation à recevoir;90faff91-d0d4-4de2-a33d-85deed2ba41a;Compensation Receivable;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Service\Caractéristiques descriptives\Compétences de la formation;\Univers\Univers\Univers\Concept\Terme métier;Compétences que développe un apprenant sur une formation;e990d33f-956f-496b-a02b-0d16482da0f8;Training skills;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées physiques\Complément d'Adresse;\Univers\Univers\Univers\Concept\Terme métier;Information complémentaire de l'adresse sous forme de texte libre. Correspond à la ligne 4 dans le référentiel RET.;f7da57cb-37c8-4a7c-875f-3732e06800d7;Postal Address Complement;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\Complément d’information sur les caractéristiques complémentaires du contrat;\Univers\Univers\Univers\Univers\Terme métier;Complément d’information sur les caractéristiques complémentaires du contrat;bb34728c-6e04-4b07-93f7-fccde397ea72;Information on Customer Agreement Additionnal Characteristics;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Complément de rémunération échu;\Univers\Univers\Univers\Univers\Terme métier;"Somme des ""solde complément de rémunération"" des lignes des factures impayées du dossier de financement courant.
Point d’attention : une facture était impayée à la date de l’arrêté si date d’exigibilité < date arrêté de compte et si (elle est toujours impayée ou si le règlement associé à une date de valeur supérieure ou égale à l’arrêté de compte)";5e002d21-b268-4e67-8708-37971bd170ea;Remuneration Complement Due Portion;
\Modèle Objets Métier - MOM\Dossier\Intervenants\Tiers étudié\Complément de rémunération emprunteur;\Univers\Univers\Univers\Concept\Terme métier;Montant complémentaire affecté au dossier à l'instant T qui peut provenir de sources diverses (région, organismes divers…). Les compléments de rémunération sont définis selon la typologie du prêt.;b90f88cd-1f0b-4dbb-8c26-1f28a17faecb;Borrower's additional remuneration;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées physiques\Complément numéro de voie;\Univers\Univers\Univers\Concept\Terme métier;"Egalement appelée indice de répétition, cette mention complète une numérotation de voirie. L’indice de répétition permet de différencier plusieurs adresses portant le même numéro dans la même rue en y ajoutant un indicatif ""bis"", ""ter"", ""quater"", ""quinquies"" etc.";4f4802fd-509b-4c4a-b6a6-98b7ec27c091;Building Number Complement;
\Modèle Objets Métier - MOM\Contrat\Flux financiers\Structure flux financier\Compte destinataire du flux financier;\Univers\Univers\Univers\Concept\Terme métier;Compte bancaire appartenant au tiers destinataire du flux financier, et qui reçoit le résultat du flux financier;b6db7be9-ff26-4e1a-9d8a-a5d5cc8571a7;Recipient Bank Account;
\Modèle Objets Métier - MOM\Contrat\Flux financiers\Structure flux financier\Compte émetteur du flux financier;\Univers\Univers\Univers\Concept\Terme métier;Compte bancaire appartenant à l'émetteur du flux financier, et sur lequel le montant du flux financier est prélevé;2dcdbdd6-b9b2-40c7-b481-7e550e7fd684;Sender Bank Account;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées numériques\Compte facebook;\Univers\Univers\Univers\Concept\Terme métier;Un compte Facebook est un profil utilisateur sur la plateforme de réseau social Facebook, permettant à une personne ou à une entreprise de se connecter avec d'autres utilisateurs, partager des informations, et participer à des interactions sociales en ligne. Dans le cadre des institutions financières, un compte Facebook est souvent utilisé pour le marketing, la communication avec les clients, la diffusion d'informations sur les produits et services, et la gestion de la réputation en ligne.;fd90414a-3530-4e27-a0f3-d0210d8a004d;Facebook Account;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées numériques\Compte linkedin;\Univers\Univers\Univers\Concept\Terme métier;Un compte LinkedIn est un profil utilisateur sur la plateforme de réseau social professionnel LinkedIn, permettant à une personne ou à une entreprise de se connecter avec des professionnels, de réseauter, de partager des informations, et de participer à des interactions professionnelles en ligne. Dans le cadre des institutions financières, un compte LinkedIn est souvent utilisé pour le marketing, le recrutement, la communication avec les clients et partenaires, la diffusion d'informations sur les produits et services, et la gestion de la réputation en ligne.;a0a8f17c-0d5c-4d40-84f3-ffc956c4f404;LinkedIn Account;
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées numériques\Compte twitter;\Univers\Univers\Univers\Concept\Terme métier;Un compte Twitter est un profil utilisateur sur la plateforme de réseau social Twitter, permettant à une personne ou à une entreprise de se connecter avec d'autres utilisateurs, de partager des informations en temps réel, et de participer à des interactions sociales en ligne. Dans le cadre des institutions financières, un compte Twitter est souvent utilisé pour le marketing, la communication avec les clients, la diffusion d'informations sur les produits et services, et la gestion de la réputation en ligne.;185beb22-1f5f-499e-965f-4a7019fa3868;Twitter Account;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Comptes consolidés;\Univers\Univers\Univers\Concept\Terme métier;La consolidation des comptes s'applique à une société qui contrôle d'autres sociétés ou exerce sur elles une influence notable. La société dite maison mère doit présenter son patrimoine, sa situation financière et les résultats de l'ensemble des sociétés qui la composent comme si il ne s'agissait que d'une seule et même entité. Cette obligation nécessite la mise en application de textes et de méthodes fixés dans un cadre national et international;6e3f89d5-71fd-4030-8f2a-109e01989f15;Consolidated Accounts;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Comptes courants d'associés stables;\Univers\Univers\Univers\Concept\Terme métier;"Hors liasse fiscale.
Correspond au montant des créances détenues par les associés sur la société à la clôture de l’exercice.";9d2d1cd4-7535-4c00-a155-ea7131074df5;Current accounts of stable partners;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Concessions, brevets et droits similaires amortissements, provisions;\Univers\Univers\Univers\Concept\Terme métier;"Catégorie - IMMOBILISATIONS INCORPORELLES
Liasse Fiscale -2050
Code Champs -AG
Code Altares -AG
Description - Ce compte enregistre les dépenses au profit du titulaire d’un brevet, d’une concession, d’une invention, etc. Les brevets d’invention doivent être amortis sur la durée du privilège dont ils bénéficient ou la durée effective d’utilisation.";86a22723-228e-4e83-9738-c6e641a1b947;Concessions. patents & similar rights depreciation. provision;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Concessions, brevets et droits similaires brut;\Univers\Univers\Univers\Concept\Terme métier;"Catégorie - IMMOBILISATIONS INCORPORELLES
Liasse Fiscale -2050
Code Champs -AF
Code Altares -AF
Description - Ce compte enregistre les dépenses au profit du titulaire d’un brevet, d’une concession, d’une invention, etc. Les brevets d’invention doivent être amortis sur la durée du privilège dont ils bénéficient ou la durée effective d’utilisation.";c9b6ca64-07a1-4a04-8034-c9cbb6c005d1;Concessions. patents & similar rights gross;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Concours bancaire courant;\Univers\Univers\Univers\Concept\Terme métier;"Les concours bancaires courants incluent des crédits à court terme (moins d'un an) parmi lesquels figurent principalement les découverts bancaires, les facilités de caisse et les autres formes de crédit permettant à l'entreprise de financer ses besoins de trésorerie.
Dans le bilan au passif avant répartition, ce champ se situe dans la rubrique ""renvois"" car il précise la part de ""concours bancaires courants, et soldes créditeurs de banques et CCP"" (Code EH) parmi les ""emprunts et dettes auprès des établissements de crédit"" (Code DU).
Bilan : PASSIF avant répartition
Liasse fiscale : 2051
Champ dans la liasse fiscale :  EH";90fbcd3b-d385-456d-9f5e-7c5534699c25;Bank overdrafts;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Conditions commerciales\Condition de tarification;\Univers\Univers\Univers\Concept\Terme métier;"Condition nomenclaturée de tarification d'une offre sous forme d'abonnement, de commission sur opérations, de taux d'intérêt, de date de valeur. Une condition peut être :
- Standard, elle s'applique à tout marché commercial, ou à  un marché commercial donné,
- Dérogatoire, elle s'applique à un sous-ensemble de Tiers ou de contrats répondant à certains critères,
- Promotionnelle, elle s'applique pendant une durée limitée dans le temps. Elle est associée à une campagne promotionnelle de niveau national ou local.
Ces conditions tarifaires (appelées également conditions financières, conditions de facturation) sont de plusieurs types : 
Des tarifs de cotisation, de commission (ex : tarifs frais de dossier etc.) 
Des taux (taux d’intérêts débiteurs, créditeurs, taux nécessaire au calcul de la commission de mouvement etc.)
Application de dates de valeurs
Pour l'accompagnement, les critères prennent en compte la taille d'entreprise, le secteur d'activité, la localisation géographique, etc.";6ef985b9-5f21-49ff-9c70-c6055073f5be;Pricing Conditions;
\Modèle Objets Métier - MOM\Facture\Caractéristiques de facture\Caractéristiques descriptives\Conditions de paiement;\Univers\Univers\Univers\Concept\Terme métier;Description textuelle des conditions de paiement applicables au montant à payer (y compris la description des pénalités éventuelles). Cet élément peut contenir plusieurs lignes et plusieurs termes.;1b0c47cd-49c5-4a4f-a98f-fc01c9fbc528;Payment terms description;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Innovation\Conditions de remboursement;\Univers\Univers\Univers\Concept\Terme métier;"Conditions décidées pour le remboursement de l'avance récupérable.
Exemple de valeurs : 
forfait 
remboursement sur CA (remboursement en fonction du CA généré)";1fcab5c2-6c47-48aa-9a56-8e2ce2bf2688;Contractual conditions for the reimbursement of the refundable advance.;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Versement\Conditions de versement;\Univers\Univers\Univers\Concept\Terme métier;;164b5c28-2c53-4c60-872e-26127a4305f4;;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Conditions commerciales\Conditions financières de la condition commerciale;\Univers\Univers\Univers\Concept\Terme métier;Les termes et les modalités financières applicables à une offre commerciale spécifique, comme des prêts PREMO/PREFI par exemple.;223d4b31-41e5-4d9c-be25-2d281a4e311a;Financial condition;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Versement\Conditions non financières de versement;\Univers\Univers\Univers\Concept\Terme métier;;0fc69f8c-596e-4c51-b92e-0b111c169d36;;
